=======================================================================================
========================== RZWQM2 Custom Distribution =================================
=========================== Distributions By Horizon ==================================
================================ Version 1.00 =========================================
=======================================================================================

=======================================================================================
=           Field capacity (1/3 bar)
=           Each Section is the Field Capacity by horizon
=           Example:     LAYER     AMOUNT
=                  Where LAYER is the horizon number
=                  And AMOUNT is the measured capacity.
=                  Repeated for number of profiles.
=======================================================================================

      1     0.267500
      2     0.267500
      3     0.152192
      4     0.117747
      5     0.110000
      6     0.090000
      7     0.180000

      1     0.267500
      2     0.267500
      3     0.150194
      4     0.141651
      5     0.150157
      6     0.128963
      7     0.240000

      1     0.267500
      2     0.267500
      3     0.173020
      4     0.144736
      5     0.172870
      6     0.156534
      7     0.150000

      1     0.267500
      2     0.267500
      3     0.131207
      4     0.157638
      5     0.164091
      6     0.135694
      7     0.240000

      1     0.267500
      2     0.192376
      3     0.149930
      4     0.170498
      5     0.154669
      6     0.144779
      7     0.210000

      1     0.267500
      2     0.218320
      3     0.147888
      4     0.150483
      5     0.149743
      6     0.129203
      7     0.240000

      1     0.267500
      2     0.282252
      3     0.317925
      4     0.264144
      5     0.149378
      6     0.149707
      7     0.180000

      1     0.267500
      2     0.283143
      3     0.310760
      4     0.172945
      5     0.138425
      6     0.146706
      7     0.205000

      1     0.267500
      2     0.266516
      3     0.265775
      4     0.148741
      5     0.141135
      6     0.130000
      7     0.150000

      1     0.267500
      2     0.255353
      3     0.305030
      4     0.162864
      5     0.157676
      6     0.125831
      7     0.140000

      1     0.267500
      2     0.257723
      3     0.251017
      4     0.138766
      5     0.121898
      6     0.172165
      7     0.140000

      1     0.267500
      2     0.254388
      3     0.201452
      4     0.131207
      5     0.128978
      6     0.146586
      7     0.200000

      1     0.267500
      2     0.277432
      3     0.229952
      4     0.268073
      5     0.209434
      6     0.213400
      7     0.220000

      1     0.267500
      2     0.265550
      3     0.176583
      4     0.246213
      5     0.168453
      6     0.150000
      7     0.200000

      1     0.267500
      2     0.294312
      3     0.220828
      4     0.213513
      5     0.208280
      6     0.186861
      7     0.200000

      1     0.267500
      2     0.284116
      3     0.185624
      4     0.152337
      5     0.184369
      6     0.204824
      7     0.220000

      1     0.267500
      2     0.269814
      3     0.141182
      4     0.106069
      5     0.120000
      6     0.090000
      7     0.190000

      1     0.267500
      2     0.272736
      3     0.220437
      4     0.133540
      5     0.115000
      6     0.085000
      7     0.180000

      1     0.267500
      2     0.254344
      3     0.275275
      4     0.235222
      5     0.260467
      6     0.175000
      7     0.180000

      1     0.267500
      2     0.256126
      3     0.254972
      4     0.255900
      5     0.190000
      6     0.125000
      7     0.170000

      1     0.267500
      2     0.230843
      3     0.251634
      4     0.276982
      5     0.293571
      6     0.239639
      7     0.200000

      1     0.267500
      2     0.243674
      3     0.285156
      4     0.283451
      5     0.211577
      6     0.171537
      7     0.210000

      1     0.267500
      2     0.278300
      3     0.219098
      4     0.240930
      5     0.175546
      6     0.153002
      7     0.180000

      1     0.267500
      2     0.259577
      3     0.261357
      4     0.182767
      5     0.235001
      6     0.185333
      7     0.210000

      1     0.280000
      2     0.230000
      3     0.175227
      4     0.145000
      5     0.172691
      6     0.160000
      7     0.209746

      1     0.280000
      2     0.260000
      3     0.190000
      4     0.168747
      5     0.150000
      6     0.149895
      7     0.190000

      1     0.280000
      2     0.290000
      3     0.190000
      4     0.167382
      5     0.155964
      6     0.180000
      7     0.166565

      1     0.280000
      2     0.210000
      3     0.160000
      4     0.150000
      5     0.160968
      6     0.140000
      7     0.160000

      1     0.250000
      2     0.170000
      3     0.150000
      4     0.140000
      5     0.135531
      6     0.148508
      7     0.270000

      1     0.240000
      2     0.220000
      3     0.200000
      4     0.160000
      5     0.160000
      6     0.170000
      7     0.190000

      1     0.290000
      2     0.270000
      3     0.203573
      4     0.166358
      5     0.139570
      6     0.163751
      7     0.190000

      1     0.300000
      2     0.280000
      3     0.250000
      4     0.160000
      5     0.161658
      6     0.167175
      7     0.215000

      1     0.300000
      2     0.280000
      3     0.300000
      4     0.250000
      5     0.160000
      6     0.150000
      7     0.195000

      1     0.270000
      2     0.310000
      3     0.237170
      4     0.155000
      5     0.140000
      6     0.210000
      7     0.160000

      1     0.280000
      2     0.270000
      3     0.174378
      4     0.182224
      5     0.158294
      6     0.158638
      7     0.190000

      1     0.280000
      2     0.270000
      3     0.220000
      4     0.175000
      5     0.158397
      6     0.120000
      7     0.145674

      1     0.270000
      2     0.270000
      3     0.230000
      4     0.180438
      5     0.193748
      6     0.200000
      7     0.215000

      1     0.270000
      2     0.240000
      3     0.210000
      4     0.173830
      5     0.171567
      6     0.190000
      7     0.230473

      1     0.270000
      2     0.250000
      3     0.220000
      4     0.155000
      5     0.210000
      6     0.170000
      7     0.221080

      1     0.270000
      2     0.280000
      3     0.270000
      4     0.190000
      5     0.170000
      6     0.180000
      7     0.200000

      1     0.270000
      2     0.250000
      3     0.205827
      4     0.200000
      5     0.180000
      6     0.170000
      7     0.185057

      1     0.250000
      2     0.270000
      3     0.280000
      4     0.183326
      5     0.155126
      6     0.190000
      7     0.185447

      1     0.240000
      2     0.160000
      3     0.210000
      4     0.210000
      5     0.216525
      6     0.178210
      7     0.246322

      1     0.230000
      2     0.190000
      3     0.250000
      4     0.218573
      5     0.200000
      6     0.180000
      7     0.230000

      1     0.240000
      2     0.180000
      3     0.250000
      4     0.230000
      5     0.201213
      6     0.180000
      7     0.230000

      1     0.255000
      2     0.190000
      3     0.240000
      4     0.250000
      5     0.220000
      6     0.200000
      7     0.233851

      1     0.240000
      2     0.220000
      3     0.240000
      4     0.220000
      5     0.220000
      6     0.199368
      7     0.220000

      1     0.260000
      2     0.260000
      3     0.210000
      4     0.230000
      5     0.190000
      6     0.200000
      7     0.192035

      1     0.240000
      2     0.207696
      3     0.170872
      4     0.169501
      5     0.254788
      6     0.248229
      7     0.242936

      1     0.220000
      2     0.185997
      3     0.179700
      4     0.162467
      5     0.235665
      6     0.205379
      7     0.224151

      1     0.260000
      2     0.271648
      3     0.184960
      4     0.170957
      5     0.174979
      6     0.204774
      7     0.267119

      1     0.280000
      2     0.292830
      3     0.224386
      4     0.193448
      5     0.218269
      6     0.199158
      7     0.270000

      1     0.240000
      2     0.287942
      3     0.227731
      4     0.201938
      5     0.175112
      6     0.180630
      7     0.260000

      1     0.250000
      2     0.257956
      3     0.259890
      4     0.254466
      5     0.179041
      6     0.187317
      7     0.257790

      1     0.260000
      2     0.149226
      3     0.262498
      4     0.228671
      5     0.227549
      6     0.248666
      7     0.245400

      1     0.240000
      2     0.203982
      3     0.243672
      4     0.222694
      5     0.214218
      6     0.223481
      7     0.284925

      1     0.225000
      2     0.198761
      3     0.188789
      4     0.190610
      5     0.217853
      6     0.214216
      7     0.274173

      1     0.230000
      2     0.216097
      3     0.218678
      4     0.203917
      5     0.174963
      6     0.201283
      7     0.264482

      1     0.250000
      2     0.211018
      3     0.246481
      4     0.197010
      5     0.177021
      6     0.221212
      7     0.262363

      1     0.250000
      2     0.234565
      3     0.226135
      4     0.193630
      5     0.187214
      6     0.226291
      7     0.264040

      1     0.240000
      2     0.200505
      3     0.155897
      4     0.184656
      5     0.249525
      6     0.248520
      7     0.189332

      1     0.200000
      2     0.164991
      3     0.160090
      4     0.228860
      5     0.250924
      6     0.252875
      7     0.219997

      1     0.230000
      2     0.224044
      3     0.192369
      4     0.230536
      5     0.255456
      6     0.245725
      7     0.291263

      1     0.240000
      2     0.195232
      3     0.210503
      4     0.201777
      5     0.268731
      6     0.219632
      7     0.252196

      1     0.215000
      2     0.182409
      3     0.245085
      4     0.234404
      5     0.251141
      6     0.222096
      7     0.204934

      1     0.220000
      2     0.160014
      3     0.251949
      4     0.260519
      5     0.240294
      6     0.226011
      7     0.233438

      1     0.240000
      2     0.184451
      3     0.157209
      4     0.175108
      5     0.129123
      6     0.305759
      7     0.297582

      1     0.240000
      2     0.215697
      3     0.184302
      4     0.154648
      5     0.166010
      6     0.292525
      7     0.294963

      1     0.200000
      2     0.176289
      3     0.169540
      4     0.145274
      5     0.173270
      6     0.288570
      7     0.290230

      1     0.220000
      2     0.188067
      3     0.204502
      4     0.155076
      5     0.227394
      6     0.308314
      7     0.279686

      1     0.230000
      2     0.167502
      3     0.168290
      4     0.279290
      5     0.267937
      6     0.270885
      7     0.276923

      1     0.240000
      2     0.192564
      3     0.312390
      4     0.294809
      5     0.281567
      6     0.238558
      7     0.286133

      1     0.250000
      2     0.205000
      3     0.160000
      4     0.120000
      5     0.150000
      6     0.150000
      7     0.155000

